sample,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,pressure_pa,temperature_c,altitude_m,lat,lon,speed_kts
55,-0.0784,0.0872,1.2197,-21.3282,-4.2977,0.7939,100036.00,27.28,107.88,0.000000,0.000000,0.0000
56,-0.0427,-0.0242,1.2319,-41.9160,-19.2366,1.9695,100040.00,27.29,107.54,0.000000,0.000000,0.0000
57,-0.0520,-0.0940,1.2300,-42.5191,-9.9160,5.1603,100039.00,27.29,107.62,0.000000,0.000000,0.0000
58,-0.0039,-0.1143,1.2222,-29.1985,-11.2748,4.6641,100042.00,27.29,107.37,0.000000,0.000000,0.0000
59,-0.0283,-0.1570,1.2395,-26.1145,-11.7939,0.7099,100029.00,27.29,108.46,0.000000,0.000000,0.0000
60,0.0081,-0.1914,1.2476,-30.0687,-3.2137,2.5802,100034.00,27.29,108.04,0.000000,0.000000,0.0000
61,0.0095,-0.1848,1.2021,-26.4122,-1.8779,3.4046,100036.00,27.28,107.88,0.000000,0.000000,0.0000
62,-0.0049,-0.2468,1.2175,-29.8702,-8.8092,0.8321,100031.00,27.29,108.30,0.000000,0.000000,0.0000
63,-0.0195,-0.3057,1.2009,-25.3893,-6.9313,2.2443,100031.00,27.29,108.30,0.000000,0.000000,0.0000
64,0.0085,-0.3284,1.1926,-28.0000,-0.0992,4.4198,100036.00,27.29,107.88,0.000000,0.000000,0.0000
65,0.0037,-0.3452,1.1829,-25.0916,-1.6260,1.6489,100036.00,27.30,107.88,0.000000,0.000000,0.0000
66,0.0022,-0.3650,1.1614,-21.9084,5.2443,-4.3282,100036.00,27.29,107.88,0.000000,0.000000,0.0000
67,-0.0073,-0.3870,1.1475,-4.1221,-1.3282,-1.2748,100034.00,27.29,108.04,0.000000,0.000000,0.0000
68,0.0225,-0.4285,1.2146,1.5267,-4.6947,-1.5115,100036.00,27.30,107.88,0.000000,0.000000,0.0000
69,-0.0200,-0.3914,1.2188,14.7481,5.4351,-2.9466,100037.00,27.30,107.79,0.000000,0.000000,0.0000
70,-0.0229,-0.3181,1.1775,11.8931,3.9695,0.3588,100034.00,27.29,108.04,0.000000,0.000000,0.0000
71,-0.0615,-0.2773,1.2029,27.5038,9.5191,6.0229,100039.00,27.30,107.62,0.000000,0.000000,0.0000
72,-0.0881,-0.1699,1.2227,25.1679,3.9237,2.0763,100036.00,27.30,107.88,0.000000,0.000000,0.0000
73,-0.0820,-0.0774,1.2251,22.1603,4.9542,4.2672,100037.00,27.30,107.79,0.000000,0.000000,0.0000
74,-0.0645,-0.1140,1.2358,25.7557,1.1069,4.8321,100034.00,27.30,108.04,0.000000,0.000000,0.0000
75,-0.0767,-0.0371,1.2690,26.1908,0.1756,8.2443,100034.00,27.30,108.04,0.000000,0.000000,0.0000
76,-0.0586,0.1372,1.2046,37.6718,-8.6336,-2.6183,100036.00,27.30,107.88,0.000000,0.000000,0.0000
77,-0.0720,0.1309,1.2771,11.6870,-2.7481,-1.4580,100038.00,27.31,107.71,0.000000,0.000000,0.0000
78,-0.0425,0.1653,1.2109,6.3740,-4.1985,-2.1374,100034.00,27.30,108.04,0.000000,0.000000,0.0000
79,-0.0725,0.1665,1.2146,-7.1985,0.2366,-0.1221,100043.00,27.31,107.29,0.000000,0.000000,0.0000
80,-0.0771,0.1938,1.2695,-12.3511,1.0916,-3.2137,100038.00,27.31,107.71,0.000000,0.000000,0.0000
81,-0.0740,0.1821,1.2241,-12.6870,-0.3664,-3.3511,100040.00,27.31,107.54,0.000000,0.000000,0.0000
82,-0.0823,0.1113,1.2390,-28.1527,4.0382,1.2290,100038.00,27.31,107.71,0.000000,0.000000,0.0000
83,-0.0759,0.0527,1.2373,-30.2366,-4.5191,0.1603,100037.00,27.31,107.79,0.000000,0.000000,0.0000
84,-0.0620,0.0500,1.2026,-27.7557,-4.4275,3.6718,100030.00,27.32,108.38,0.000000,0.000000,0.0000
85,-0.0662,-0.0039,1.2329,-31.4733,0.2824,-1.3588,100037.00,27.31,107.79,0.000000,0.000000,0.0000
86,-0.0483,-0.1023,1.2251,-45.9618,-9.2824,1.8397,100038.00,27.32,107.71,0.000000,0.000000,0.0000
87,-0.0845,-0.1279,1.2373,-36.0305,-2.4275,-0.4656,100036.00,27.32,107.88,0.000000,0.000000,0.0000
88,-0.0591,-0.1973,1.2268,-24.2519,-2.1069,-1.4198,100034.00,27.32,108.04,0.000000,0.000000,0.0000
89,-0.0664,-0.2747,1.2593,-26.6718,4.9695,3.2672,100037.00,27.32,107.79,0.000000,0.000000,0.0000
90,-0.0674,-0.2651,1.2302,-25.0305,-3.0992,-0.6489,100038.00,27.32,107.71,0.000000,0.000000,0.0000
91,-0.0784,-0.3108,1.2258,-23.6794,2.0916,2.0305,100033.00,27.32,108.13,0.000000,0.000000,0.0000
92,-0.0796,-0.3286,1.1775,-24.4351,1.9160,-1.1756,100043.00,27.32,107.29,0.000000,0.000000,0.0000
93,-0.0901,-0.3972,1.1968,-8.7023,-1.8321,0.7634,100033.00,27.32,108.13,0.000000,0.000000,0.0000
94,-0.1082,-0.3765,1.2034,3.5954,-2.2901,-2.3435,100041.00,27.32,107.45,0.000000,0.000000,0.0000
95,-0.0864,-0.3115,1.1658,17.1145,-1.5878,-7.5267,100036.00,27.32,107.88,0.000000,0.000000,0.0000
96,-0.0674,-0.2744,1.2139,22.5420,5.2977,-3.7863,100036.00,27.32,107.88,0.000000,0.000000,0.0000
97,-0.0784,-0.1345,1.1838,23.8244,8.8092,-0.6947,100038.00,27.32,107.71,0.000000,0.000000,0.0000
