sample,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,pressure_pa,temperature_c,altitude_m,lat,lon,speed_kts
0,-0.0906,-0.1892,1.2253,-7.6565,-1.1298,-0.6183,100041.00,27.07,107.45,0.000000,0.000000,0.0000
1,-0.0894,-0.1934,1.2283,-7.3893,-1.4427,-0.4046,100041.00,27.10,107.45,0.000000,0.000000,0.0000
2,-0.1067,-0.1943,1.2229,-6.2443,0.7176,-0.8244,100040.00,27.12,107.54,0.000000,0.000000,0.0000
3,-0.0884,-0.2024,1.2229,-7.6870,-1.5802,-0.2977,100042.00,27.14,107.37,0.000000,0.000000,0.0000
4,-0.1057,-0.1838,1.2253,-6.4427,0.5267,-0.9313,100042.00,27.15,107.37,0.000000,0.000000,0.0000
5,-0.0901,-0.2058,1.2263,-7.4885,-1.2901,-0.4046,100036.00,27.15,107.88,0.000000,0.000000,0.0000
6,-0.0962,-0.1838,1.2263,-6.3282,-0.0382,-0.8855,100044.00,27.17,107.20,0.000000,0.000000,0.0000
7,-0.0845,-0.1978,1.2371,-7.6870,-1.0229,-0.3511,100038.00,27.17,107.71,0.000000,0.000000,0.0000
8,-0.1572,-0.1138,1.2246,-9.8931,-2.9542,0.9084,100041.00,27.18,107.45,0.000000,0.000000,0.0000
9,0.0659,-0.3259,1.2710,9.8473,-80.0458,4.9160,100039.00,27.18,107.62,0.000000,0.000000,0.0000
10,0.2485,-0.3162,1.2056,22.9389,-110.2595,-7.2901,100040.00,27.18,107.54,0.000000,0.000000,0.0000
11,0.3857,-0.2012,1.1833,32.0000,-92.0229,-24.3282,100037.00,27.19,107.79,0.000000,0.000000,0.0000
12,0.3887,-0.0896,1.1313,25.7099,-23.7481,-22.9618,100040.00,27.19,107.54,0.000000,0.000000,0.0000
13,0.2944,0.0481,1.1270,41.6870,48.3130,-19.1908,100042.00,27.20,107.37,0.000000,0.000000,0.0000
14,0.1897,0.1560,1.1846,64.4733,88.8550,-9.3511,100042.00,27.20,107.37,0.000000,0.000000,0.0000
15,0.1345,0.1753,1.2239,52.2519,42.0534,-1.4885,100040.00,27.20,107.54,0.000000,0.000000,0.0000
16,-0.0078,0.2500,1.1575,40.8168,48.0840,-20.6183,100039.00,27.20,107.62,0.000000,0.000000,0.0000
17,0.0178,0.3516,1.1685,21.6718,20.6412,-16.9008,100037.00,27.21,107.79,0.000000,0.000000,0.0000
18,-0.0134,0.4463,1.0759,20.5802,-8.7023,-1.9695,100042.00,27.21,107.37,0.000000,0.000000,0.0000
19,-0.0237,0.4648,1.0986,-7.2214,-1.3893,-5.6107,100039.00,27.22,107.62,0.000000,0.000000,0.0000
20,-0.0400,0.5166,1.0928,-5.9466,-2.9160,2.1450,100042.00,27.22,107.37,0.000000,0.000000,0.0000
21,-0.0283,0.5234,1.1428,-19.2061,-6.9847,1.6336,100039.00,27.22,107.62,0.000000,0.000000,0.0000
22,-0.0503,0.5630,1.1543,-31.4046,-18.1145,10.1298,100043.00,27.23,107.29,0.000000,0.000000,0.0000
23,-0.0071,0.4739,1.1418,-49.8015,-1.1145,2.8702,100041.00,27.23,107.45,0.000000,0.000000,0.0000
24,0.0398,0.3726,1.1462,-43.6412,-2.4275,12.5115,100040.00,27.23,107.54,0.000000,0.000000,0.0000
25,0.0173,0.3167,1.1794,-44.5496,-5.5115,10.2519,100040.00,27.23,107.54,0.000000,0.000000,0.0000
26,0.0989,0.2051,1.2327,-68.7863,-21.9313,11.7099,100043.00,27.24,107.29,0.000000,0.000000,0.0000
27,0.0969,0.0256,1.2378,-95.0840,-9.2290,-6.3817,100044.00,27.24,107.20,0.000000,0.000000,0.0000
28,0.1096,0.0125,1.2126,-63.6183,-0.4656,-3.8168,100036.00,27.25,107.88,0.000000,0.000000,0.0000
29,0.1521,-0.0803,1.2493,-51.7557,-12.3969,7.9847,100040.00,27.25,107.54,0.000000,0.000000,0.0000
30,0.1057,-0.1414,1.1990,-48.5267,-15.2672,5.5802,100040.00,27.25,107.54,0.000000,0.000000,0.0000
31,0.1467,-0.2571,1.2319,-36.4656,-7.1298,8.8626,100036.00,27.25,107.88,0.000000,0.000000,0.0000
32,0.1208,-0.2478,1.1289,-29.2519,-9.4351,2.4885,100039.00,27.26,107.62,0.000000,0.000000,0.0000
33,0.1150,-0.3059,1.1392,-25.8321,-12.1985,1.6718,100042.00,27.26,107.37,0.000000,0.000000,0.0000
34,0.1477,-0.3462,1.1721,-21.4427,0.5649,-0.0382,100040.00,27.26,107.54,0.000000,0.000000,0.0000
35,0.1455,-0.3682,1.1643,-23.8473,0.8702,-11.2290,100038.00,27.26,107.71,0.000000,0.000000,0.0000
36,0.1348,-0.3640,1.1680,-14.2366,0.3969,-6.6565,100038.00,27.27,107.71,0.000000,0.000000,0.0000
37,0.1299,-0.4031,1.1748,-8.6641,4.0305,1.5954,100040.00,27.26,107.54,0.000000,0.000000,0.0000
38,0.1267,-0.4023,1.1582,-1.4198,1.9542,-1.2443,100041.00,27.27,107.45,0.000000,0.000000,0.0000
39,0.1106,-0.3984,1.1895,6.2137,2.5954,-7.6947,100039.00,27.27,107.62,0.000000,0.000000,0.0000
40,0.1262,-0.3674,1.1970,13.3588,10.3359,-0.5878,100041.00,27.27,107.45,0.000000,0.000000,0.0000
41,0.1082,-0.3076,1.2349,31.6718,15.7481,-6.1527,100040.00,27.27,107.54,0.000000,0.000000,0.0000
42,0.0745,-0.2209,1.2148,31.5344,17.8473,-10.6336,100037.00,27.26,107.79,0.000000,0.000000,0.0000
43,0.0449,-0.1372,1.2202,22.8550,14.0840,-11.4733,100038.00,27.27,107.71,0.000000,0.000000,0.0000
44,0.0247,-0.0657,1.2202,18.2366,13.3130,-10.7481,100038.00,27.27,107.71,0.000000,0.000000,0.0000
45,0.0256,-0.0071,1.2466,15.7939,8.3969,-1.9771,100037.00,27.27,107.79,0.000000,0.000000,0.0000
46,0.0076,0.0129,1.1975,11.9313,15.5878,-5.4656,100042.00,27.27,107.37,0.000000,0.000000,0.0000
47,-0.0212,0.0525,1.2124,14.1145,22.0687,-10.6794,100041.00,27.28,107.45,0.000000,0.000000,0.0000
48,-0.0518,0.0693,1.2400,9.8931,7.3817,-6.9771,100041.00,27.27,107.45,0.000000,0.000000,0.0000
49,-0.1104,0.1267,1.2063,12.0916,5.7481,-3.0687,100033.00,27.27,108.13,0.000000,0.000000,0.0000
50,-0.0669,0.1560,1.2451,0.2977,0.2519,-13.2595,100043.00,27.28,107.29,0.000000,0.000000,0.0000
51,-0.0872,0.1753,1.2244,-5.5191,-5.3588,-3.3206,100034.00,27.28,108.04,0.000000,0.000000,0.0000
52,-0.0605,0.1851,1.2109,-13.9237,-5.5802,-1.0153,100037.00,27.28,107.79,0.000000,0.000000,0.0000
53,-0.0869,0.1667,1.2595,-18.9695,-5.3893,2.8931,100039.00,27.29,107.62,0.000000,0.000000,0.0000
54,-0.0950,0.1226,1.2056,-44.2519,8.2672,14.2977,100033.00,27.28,108.13,0.000000,0.000000,0.0000
