sample,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,pressure_pa,temperature_c,altitude_m,lat,lon,speed_kts
0,-0.1335,-0.2424,1.2153,-7.6489,-1.5038,-0.7634,100047.00,27.02,106.95,0.000000,0.000000,0.0000
1,-0.1289,-0.2383,1.2102,-7.8931,-1.3664,-0.6031,100046.00,27.05,107.03,0.000000,0.000000,0.0000
2,-0.1284,-0.2424,1.2090,-7.3511,-1.4122,-0.5038,100053.00,27.08,106.44,0.000000,0.000000,0.0000
3,-0.1282,-0.2397,1.1995,-7.6489,-1.2595,-0.8015,100049.00,27.09,106.78,0.000000,0.000000,0.0000
4,-0.1333,-0.2446,1.2087,-7.5573,-1.2443,-0.4962,100051.00,27.10,106.61,0.000000,0.000000,0.0000
5,-0.1331,-0.2400,1.2112,-7.8168,-1.1908,-0.6794,100046.00,27.11,107.03,0.000000,0.000000,0.0000
6,-0.1228,-0.2402,1.2158,-7.8473,-0.8855,-0.5649,100047.00,27.12,106.95,0.000000,0.000000,0.0000
7,-0.1250,-0.2466,1.2036,-8.2290,-0.3969,-0.4275,100052.00,27.12,106.53,0.000000,0.000000,0.0000
8,-0.1338,-0.2461,1.2070,-8.1985,-0.3359,-0.1908,100047.00,27.13,106.95,0.000000,0.000000,0.0000
9,-0.1274,-0.2441,1.2085,-8.4198,-0.4046,-0.5191,100046.00,27.13,107.03,0.000000,0.000000,0.0000
10,-0.1289,-0.2427,1.2129,-8.0076,-0.8168,-0.3588,100047.00,27.13,106.95,0.000000,0.000000,0.0000
11,-0.1321,-0.2454,1.2112,-7.8931,-1.1221,-0.4427,100053.00,27.13,106.44,0.000000,0.000000,0.0000
12,-0.1345,-0.2468,1.2029,-7.9008,-0.7786,-0.6031,100051.00,27.14,106.61,0.000000,0.000000,0.0000
13,-0.1340,-0.2395,1.2073,-7.5802,-1.3053,-0.6489,100046.00,27.14,107.03,0.000000,0.000000,0.0000
14,-0.1277,-0.2388,1.2021,-7.3053,-1.6565,-0.6565,100054.00,27.14,106.36,0.000000,0.000000,0.0000
15,-0.1270,-0.2383,1.2041,-7.3053,-1.4122,-0.4504,100044.00,27.14,107.20,0.000000,0.000000,0.0000
16,-0.1230,-0.2395,1.2056,-7.7634,-1.2061,-0.5038,100049.00,27.14,106.78,0.000000,0.000000,0.0000
17,-0.1272,-0.2356,1.2095,-7.7786,-1.1985,-0.5344,100050.00,27.14,106.70,0.000000,0.000000,0.0000
18,-0.1211,-0.2361,1.2075,-7.0840,-1.7786,-0.7710,100050.00,27.14,106.70,0.000000,0.000000,0.0000
19,-0.1323,-0.2400,1.2065,-7.1832,-1.5802,-0.5420,100048.00,27.14,106.86,0.000000,0.000000,0.0000
20,-0.1270,-0.2432,1.2070,-6.9618,-1.7328,-0.6107,100048.00,27.15,106.86,0.000000,0.000000,0.0000
21,-0.1250,-0.2432,1.2126,-7.4427,-1.3282,-0.5725,100048.00,27.15,106.86,0.000000,0.000000,0.0000
22,-0.1289,-0.2346,1.2151,-7.3130,-1.6641,-0.5038,100053.00,27.15,106.44,0.000000,0.000000,0.0000
23,-0.1245,-0.2358,1.2153,-7.2595,-1.7481,-0.8015,100051.00,27.16,106.61,0.000000,0.000000,0.0000
24,-0.1284,-0.2417,1.2161,-7.3359,-1.4427,-0.5802,100048.00,27.16,106.86,0.000000,0.000000,0.0000
25,-0.1296,-0.2375,1.2070,-7.3206,-1.6412,-0.5878,100045.00,27.15,107.12,0.000000,0.000000,0.0000
26,-0.1323,-0.2510,1.2131,-7.7099,-0.9084,-0.5038,100051.00,27.16,106.61,0.000000,0.000000,0.0000
27,-0.1348,-0.2417,1.2039,-7.7786,-0.7939,-0.3664,100048.00,27.16,106.86,0.000000,0.000000,0.0000
28,-0.1274,-0.2388,1.2185,-7.8702,-0.9237,-0.5954,100049.00,27.16,106.78,0.000000,0.000000,0.0000
29,-0.1328,-0.2434,1.2087,-7.8931,-0.9924,-0.6183,100052.00,27.16,106.53,0.000000,0.000000,0.0000
