sample,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,pressure_pa,temperature_c,altitude_m,lat,lon,speed_kts
30,-0.1267,-0.2397,1.2017,-7.7939,-0.9160,-0.5115,100051.00,27.16,106.61,0.000000,0.000000,0.0000
31,-0.1230,-0.2451,1.2097,-7.6641,-1.0992,-0.5649,100050.00,27.16,106.70,0.000000,0.000000,0.0000
32,-0.1243,-0.2417,1.2126,-7.8015,-1.2290,-0.6412,100047.00,27.17,106.95,0.000000,0.000000,0.0000
33,-0.1221,-0.2390,1.2048,-7.2748,-1.4656,-0.6031,100047.00,27.16,106.95,0.000000,0.000000,0.0000
34,-0.1296,-0.2471,1.2061,-7.4122,-1.0153,-0.4427,100048.00,27.17,106.86,0.000000,0.000000,0.0000
35,-0.1311,-0.2419,1.2104,-7.5878,-1.1985,-0.6489,100050.00,27.17,106.70,0.000000,0.000000,0.0000
36,-0.1304,-0.2434,1.2039,-7.2672,-1.4504,-0.5267,100049.00,27.17,106.78,0.000000,0.000000,0.0000
37,-0.1296,-0.2402,1.2178,-7.4809,-1.5573,-0.5420,100049.00,27.17,106.78,0.000000,0.000000,0.0000
38,-0.1321,-0.2417,1.2119,-7.5802,-1.1908,-0.5191,100049.00,27.17,106.78,0.000000,0.000000,0.0000
39,-0.1333,-0.2454,1.2083,-7.4351,-1.4580,-0.6718,100049.00,27.17,106.78,0.000000,0.000000,0.0000
40,-0.1301,-0.2390,1.2119,-7.6336,-1.0611,-0.5191,100048.00,27.17,106.86,0.000000,0.000000,0.0000
41,-0.1279,-0.2380,1.2092,-7.4809,-1.4580,-0.5573,100049.00,27.17,106.78,0.000000,0.000000,0.0000
42,-0.1311,-0.2393,1.2048,-7.5649,-1.5878,-0.7939,100048.00,27.17,106.86,0.000000,0.000000,0.0000
43,-0.1296,-0.2417,1.2163,-7.4733,-1.3130,-0.6947,100045.00,27.17,107.12,0.000000,0.000000,0.0000
44,-0.1294,-0.2441,1.2053,-7.6565,-1.1298,-0.6336,100045.00,27.17,107.12,0.000000,0.000000,0.0000
45,-0.1362,-0.2449,1.2090,-7.5573,-1.1450,-0.4885,100047.00,27.18,106.95,0.000000,0.000000,0.0000
46,-0.1255,-0.2444,1.2078,-7.6260,-1.2977,-0.5115,100046.00,27.17,107.03,0.000000,0.000000,0.0000
47,-0.1287,-0.2402,1.2151,-7.6794,-1.0458,-0.7557,100045.00,27.17,107.12,0.000000,0.000000,0.0000
48,-0.1252,-0.2405,1.2009,-7.4580,-1.3359,-0.6031,100045.00,27.18,107.12,0.000000,0.000000,0.0000
49,-0.1250,-0.2361,1.2104,-7.5649,-1.2672,-0.4656,100043.00,27.17,107.29,0.000000,0.000000,0.0000
