sample,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,pressure_pa,temperature_c,altitude_m
95,0.0540,-0.0244,1.2512,-7.8321,-1.2672,-0.6794,-31603.00,27.32,0.00
96,0.0571,-0.0266,1.2576,-7.6183,-1.0916,-0.9695,-31604.00,27.32,0.00
97,0.0564,-0.0303,1.2515,-7.7405,-1.2366,-0.6107,-31600.00,27.33,0.00
98,0.0605,-0.0283,1.2502,-7.8168,-1.0611,-0.6794,-31600.00,27.32,0.00
99,0.0632,-0.0278,1.2437,-8.0305,-1.3130,-0.6870,-31604.00,27.33,0.00
100,0.0598,-0.0293,1.2454,-7.7481,-1.2443,-0.8015,-31604.00,27.33,0.00
101,0.0559,-0.0215,1.2664,-7.9924,-1.3206,-0.5573,-31604.00,27.33,0.00
102,0.0591,-0.0342,1.2517,-7.9924,-1.5267,-0.6718,-31602.00,27.33,0.00
103,0.0566,-0.0205,1.2488,-7.2672,-0.7405,-0.7328,-31602.00,27.33,0.00
104,0.0728,-0.0474,1.2441,-8.3511,-1.4504,-0.8244,-31602.00,27.33,0.00
105,0.0496,-0.0273,1.2424,-6.7557,-0.4198,-0.9695,-31603.00,27.33,0.00
106,0.0662,-0.0376,1.2559,-7.5267,-1.1450,-0.7023,-31603.00,27.33,0.00
107,0.0493,-0.0251,1.2512,-6.7176,-0.4962,-1.0000,-31605.00,27.33,0.00
108,0.0696,-0.0303,1.2515,-7.7023,-1.2366,-0.8473,-31598.00,27.33,0.00
109,0.0503,-0.0225,1.2568,-7.2901,-0.9160,-0.8626,-31601.00,27.33,0.00
110,0.0681,-0.0371,1.2546,-7.9771,-1.1603,-0.8550,-31603.00,27.32,0.00
111,0.0503,-0.0176,1.2522,-7.0458,-0.7939,-1.0611,-31603.00,27.32,0.00
112,0.0608,-0.0378,1.2483,-8.1985,-1.5954,-0.7863,-31602.00,27.33,0.00
113,0.0591,-0.0215,1.2554,-7.5954,-1.0229,-0.6489,-31599.00,27.33,0.00
114,0.0569,-0.0303,1.2544,-7.6870,-1.2824,-0.6336,-31598.00,27.33,0.00
115,0.0598,-0.0225,1.2454,-7.9695,-1.3053,-0.8321,-31600.00,27.33,0.00
116,0.0593,-0.0295,1.2488,-7.8168,-1.3359,-0.7557,-31600.00,27.33,0.00
117,0.0652,-0.0291,1.2441,-7.8931,-1.2595,-0.6260,-31601.00,27.33,0.00
118,0.0576,-0.0303,1.2451,-7.8702,-1.3282,-0.6565,-31603.00,27.33,0.00
119,0.0623,-0.0339,1.2534,-7.9847,-1.0992,-0.6336,-31602.00,27.33,0.00
120,0.0564,-0.0266,1.2502,-7.8015,-1.1069,-0.9084,-31603.00,27.33,0.00
121,0.0583,-0.0327,1.2515,-7.9160,-1.2901,-0.7176,-31600.00,27.33,0.00
122,0.0618,-0.0320,1.2480,-7.6565,-1.2748,-0.8931,-31601.00,27.33,0.00
123,0.0540,-0.0259,1.2571,-7.7099,-1.2214,-0.7863,-31600.00,27.33,0.00
124,0.0596,-0.0308,1.2524,-7.6565,-1.1756,-0.7252,-31598.00,27.33,0.00
125,0.0598,-0.0317,1.2424,-7.5115,-1.1450,-0.8092,-31598.00,27.33,0.00
126,0.0542,-0.0322,1.2493,-7.8779,-1.2977,-0.8244,-31604.00,27.33,0.00
127,0.0608,-0.0269,1.2432,-7.7099,-1.0534,-0.7328,-31601.00,27.34,0.00
128,0.0591,-0.0227,1.2524,-7.7481,-1.3664,-0.8168,-31597.00,27.34,0.00
129,0.0579,-0.0251,1.2502,-7.4198,-1.2443,-0.7328,-31603.00,27.34,0.00
130,0.0571,-0.0293,1.2512,-7.7786,-1.2214,-0.9008,-31601.00,27.34,0.00
131,0.0559,-0.0239,1.2424,-7.7557,-1.1756,-0.8855,-31602.00,27.34,0.00
132,0.0637,-0.0349,1.2449,-7.5954,-1.2137,-0.7557,-31602.00,27.33,0.00
133,0.0608,-0.0244,1.2458,-7.7023,-1.2595,-0.6641,-31603.00,27.34,0.00
134,0.0576,-0.0278,1.2524,-7.7939,-1.1145,-0.9313,-31603.00,27.33,0.00
135,0.0598,-0.0264,1.2527,-7.8321,-1.3053,-0.7557,-31599.00,27.34,0.00
136,0.0579,-0.0242,1.2480,-7.5954,-1.1679,-0.8244,-31604.00,27.34,0.00
137,0.0620,-0.0300,1.2461,-7.6107,-1.2443,-0.7710,-31598.00,27.34,0.00
138,0.0613,-0.0264,1.2461,-7.6947,-1.0611,-0.7405,-31600.00,27.34,0.00
139,0.0544,-0.0305,1.2566,-7.6794,-1.2977,-0.6947,-31599.00,27.34,0.00
140,0.0593,-0.0234,1.2524,-7.8015,-1.1069,-0.7710,-31599.00,27.34,0.00
141,0.0635,-0.0254,1.2378,-7.7939,-1.1374,-0.7252,-31599.00,27.35,0.00
142,0.0554,-0.0315,1.2600,-7.7252,-1.2595,-0.8092,-31601.00,27.34,0.00
143,0.0664,-0.0317,1.2542,-7.7023,-1.2366,-0.7634,-31604.00,27.35,0.00
144,0.0559,-0.0317,1.2485,-7.7481,-0.8702,-0.6718,-31602.00,27.35,0.00
145,0.0564,-0.0310,1.2456,-7.6489,-1.1145,-0.8244,-31602.00,27.34,0.00
