timestamp_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,pressure_pa,temperature_c,altitude_m
0.090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
0.232,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
0.374,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
0.516,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
0.658,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
0.801,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11811.00,1.85,0.00
0.943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
1.085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
1.227,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
1.369,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
1.511,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
1.653,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
1.795,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
1.938,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
2.080,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
2.222,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
2.364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
2.506,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
2.648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
2.790,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
2.932,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
3.075,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
3.217,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
3.359,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
3.501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
3.643,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
3.785,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
3.927,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
4.069,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
4.212,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
4.354,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
4.496,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
4.638,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
4.780,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
4.922,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11803.00,1.85,0.00
