sample,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,pressure_pa,temperature_c,altitude_m
0,0.0842,0.0239,1.2471,-7.7863,-1.2519,-0.6870,-31589.00,27.58,0.00
1,0.0774,0.0242,1.2400,-7.8321,-1.2595,-0.6870,-31585.00,27.62,0.00
2,0.0835,0.0256,1.2529,-7.7481,-1.1069,-0.8168,-31586.00,27.63,0.00
3,0.0759,0.0310,1.2488,-7.7939,-1.1679,-0.7939,-31587.00,27.65,0.00
4,0.0791,0.0278,1.2490,-7.7634,-1.2290,-0.7252,-31590.00,27.66,0.00
5,0.0720,0.0229,1.2480,-7.5115,-1.2443,-0.7176,-31588.00,27.68,0.00
6,0.0796,0.0244,1.2505,-7.7252,-1.2366,-0.8244,-31588.00,27.67,0.00
7,0.0784,0.0198,1.2473,-8.0153,-1.1756,-0.7481,-31591.00,27.68,0.00
8,0.0823,0.0259,1.2520,-7.9313,-1.0763,-0.6565,-31589.00,27.68,0.00
9,0.0823,0.0195,1.2495,-7.8550,-1.0763,-0.8779,-31592.00,27.68,0.00
10,0.0815,0.0186,1.2476,-7.7557,-1.3359,-0.7557,-31591.00,27.69,0.00
11,0.0820,0.0283,1.2434,-7.9084,-1.0992,-0.8550,-31586.00,27.69,0.00
12,0.0745,0.0220,1.2461,-7.6489,-1.0992,-0.6718,-31587.00,27.69,0.00
13,0.0796,0.0232,1.2485,-7.5420,-1.2290,-0.7328,-31584.00,27.69,0.00
14,0.0837,0.0217,1.2458,-7.7939,-1.2977,-0.8473,-31587.00,27.70,0.00
15,0.0789,0.0273,1.2490,-7.7405,-1.0916,-0.8092,-31584.00,27.70,0.00
16,0.0835,0.0273,1.2542,-7.6870,-1.1908,-0.8321,-31588.00,27.70,0.00
17,0.0769,0.0186,1.2461,-7.6641,-1.2290,-0.7557,-31585.00,27.70,0.00
18,0.0781,0.0251,1.2493,-7.8321,-1.2519,-0.7710,-31589.00,27.70,0.00
19,0.0823,0.0254,1.2510,-7.6489,-1.2595,-0.8092,-31584.00,27.70,0.00
20,0.0796,0.0183,1.2502,-7.8015,-1.1985,-0.9313,-31585.00,27.70,0.00
21,0.0759,0.0286,1.2490,-7.5420,-1.1374,-0.7557,-31587.00,27.70,0.00
22,0.0801,0.0244,1.2500,-7.5878,-1.2366,-0.7481,-31589.00,27.70,0.00
23,0.0779,0.0259,1.2625,-7.8550,-1.0992,-0.8473,-31587.00,27.70,0.00
24,0.0842,0.0239,1.2454,-7.7176,-1.3053,-0.7710,-31589.00,27.70,0.00
25,0.0796,0.0254,1.2478,-7.7405,-1.2824,-0.7405,-31584.00,27.70,0.00
26,0.0752,0.0203,1.2498,-7.6794,-1.3282,-0.7939,-31585.00,27.70,0.00
27,0.0771,0.0264,1.2471,-7.9618,-1.4122,-1.3206,-31592.00,27.70,0.00
28,0.0737,0.0188,1.2529,-7.8550,-1.1069,-0.7557,-31588.00,27.70,0.00
29,0.0803,0.0308,1.2517,-7.7023,-1.1527,-0.7328,-31587.00,27.71,0.00
30,0.0723,0.0144,1.2581,-7.6641,-1.0229,-0.7786,-31583.00,27.71,0.00
31,0.0842,0.0271,1.2490,-7.7481,-1.1603,-0.6412,-31588.00,27.71,0.00
32,0.0759,0.0146,1.2510,-7.8779,-1.2824,-0.7405,-31590.00,27.70,0.00
33,0.0732,0.0234,1.2500,-7.6183,-1.1756,-0.6641,-31588.00,27.71,0.00
34,0.0994,0.0059,1.2515,-6.3206,-0.9847,-1.5344,-31586.00,27.71,0.00
35,0.0803,0.0261,1.2605,-7.6565,-1.0916,-0.6565,-31589.00,27.71,0.00
36,0.0842,0.0305,1.2485,-7.7099,-0.9160,-0.6947,-31587.00,27.70,0.00
37,0.0771,0.0154,1.2520,-7.9237,-1.4046,-0.8397,-31587.00,27.71,0.00
38,0.0798,0.0281,1.2412,-7.8550,-1.2595,-0.8626,-31586.00,27.71,0.00
39,0.0774,0.0217,1.2490,-7.7634,-1.1756,-0.7863,-31590.00,27.71,0.00
40,0.0791,0.0220,1.2529,-7.8168,-1.1985,-0.7863,-31589.00,27.71,0.00
41,0.0823,0.0178,1.2319,-6.7481,-1.2748,-1.2748,-31588.00,27.71,0.00
42,0.0820,0.0244,1.2502,-7.6565,-1.0611,-0.7328,-31587.00,27.71,0.00
43,0.0771,0.0225,1.2554,-7.6412,-1.1603,-0.9618,-31589.00,27.71,0.00
44,0.0764,0.0234,1.2451,-7.6031,-1.2443,-0.6870,-31592.00,27.70,0.00
45,0.0769,0.0217,1.2490,-7.5573,-1.2519,-0.8473,-31589.00,27.71,0.00
46,0.0823,0.0254,1.2400,-7.7557,-1.2824,-0.7023,-31585.00,27.71,0.00
47,0.0740,0.0269,1.2451,-7.7099,-1.2901,-0.8397,-31585.00,27.71,0.00
48,0.0691,0.0244,1.2458,-7.3282,-1.3359,-0.8931,-31589.00,27.71,0.00
49,0.0835,0.0227,1.2534,-7.5878,-1.0229,-0.8855,-31586.00,27.71,0.00
